,logFC,FDR,FC,geneLen,GC_content,median_IUPRED,5UTR_PARS_RNAstructure,CDS_PARS_RNAstructure,3UTR_PARS_RNAstructure,%AA_A,%AA_C,%AA_D,%AA_E,%AA_F,%AA_G,%AA_H,%AA_I,%AA_K,%AA_L,%AA_M,%AA_N,%AA_P,%AA_Q,%AA_R,%AA_S,%AA_T,%AA_V,%AA_W,%AA_Y,%Helical,%urn,%Beta-sheet,number of physical interaction,number of positive genetic interaction,number of negative genetic interaction,RNAseq RPKM,RNAseq log2(RPKM),MS mean,log2(MS),Imputed log2(MS),protein_synthesis_rate,real_protein_synthesis_rate,Ribo_profilling_init_rate,Ribo_profilling_ribo_num,Ribo_profilling_trans_rate,Ribo_profilling_trans_time,Ribo_profilling_delay_time,IDR ratio,Control Median,control Localization,GOMF,GOBP slim,GOCC slim,Number of complexe,Sum d0 Pause Score,Sum Odds Ratio,intron length,Intron status,aliphaticIndex,aromaticityScore,cai,codonBias,fopScore,gravyScore,instabilityIndex,molecularWeight,pI
YAL034C,-0.372687824510504,0.37507698319006,0.7723422371749596,1242.0,42.19,0.4507,,,,0.0507,0.0072,0.0483,0.0314,0.029,0.0386,0.0169,0.0411,0.0773,0.0966,0.0193,0.0966,0.0821,0.0362,0.0676,0.1232,0.0362,0.0338,0.0121,0.0531,0.2657,0.3406,0.1981,7.0,31.0,67.0,9.22112070775,3.353481485964243,,,23.704193799656316,,,0.044,3.933,0.04,97.336,1.289,0.4009661835748792,16.39,below threshold,GO:0003676;GO:0003677;GO:0005488,,,0.0,,,,0.0,65.13,0.09,0.12,0.07,0.45,-0.84,56.9,47096.0,10.37
YAL034W-A,0.887457607663591,0.0331326379066025,1.8499132361619273,870.0,38.5057,0.2592,,,,0.0379,0.0069,0.0862,0.1034,0.0207,0.031,0.0034,0.0586,0.1103,0.1483,0.0207,0.0552,0.0241,0.031,0.0517,0.0621,0.0517,0.0655,0.0,0.0276,0.3207,0.1724,0.3103,29.0,6.0,73.0,4.048859365,2.33595749195768,61454000.0,25.87300360540268,25.87300360540268,,,0.077,7.001,0.067,104.444,16.783,0.0517241379310344,16.61,below threshold,,GO:0000280;GO:0006996;GO:0007059;GO:0007067;GO:0009987;GO:0016043;GO:0048285;GO:0051179;GO:0051301;GO:0051641,GO:0032991;GO:0043234;GO:0044464,1.0,,,,0.0,98.46,0.05,0.11,-0.07,0.39,-0.53,34.43,33235.5,4.86
YAL037C-A,0.182614989620637,0.598345668748573,1.134939181803443,93.0,32.2581,0.0356,,,,0.0,0.0,0.0323,0.0,0.0645,0.0323,0.0323,0.1613,0.0968,0.0968,0.0968,0.0968,0.0323,0.0323,0.0,0.0645,0.0645,0.0645,0.0,0.0,0.3871,0.2258,0.1935,,,,4.3140592085,2.4098143022231238,,,22.86242510154929,,,,,,,,,,,,,,0.0,,,,0.0,119.02,0.07,0.1,-0.03,0.44,0.54,50.04,3449.3,10.51
YAL038W,1.40055283700162,1.07376036393807e-06,2.640027279352496,1503.0,46.1743,0.247,-0.975896551724138,1.47901297405189,-0.069156626506024,0.0858,0.014,0.0639,0.0559,0.0299,0.0679,0.014,0.0739,0.0739,0.0699,0.022,0.0519,0.0499,0.02,0.0479,0.0539,0.0758,0.0958,0.002,0.0299,0.3014,0.2236,0.2335,20.0,2.0,67.0,6384.8774285,12.640669146528397,178690000000.0,37.37866794309481,37.37866794309481,,,0.388,15.924,0.211,75.232,1.96,0.0239520958083832,1884.27,cytosol,GO:0000166;GO:0000287;GO:0003824;GO:0004743;GO:0005488;GO:0005524;GO:0016301;GO:0016740;GO:0016772;GO:0016773;GO:0017076;GO:0030554;GO:0030955;GO:0031420;GO:0032553;GO:0032555;GO:0032559;GO:0035639;GO:0043167;GO:0043169;GO:0046872,GO:0005975;GO:0006066;GO:0006082;GO:0006091;GO:0008152;GO:0009056;GO:0009987;GO:0042180;GO:0044237;GO:0044238;GO:0044281,GO:0005737;GO:0044464,0.0,47.620000000000005,70.71000000000001,,0.0,89.15,0.06,0.89,0.93,0.96,-0.15,23.07,54546.3,7.78
YAL039C,0.198222017110444,0.257872406306106,1.147283566722601,810.0,53.0864,0.4801,0.19,0.231999999999998,-0.011621621621622,0.0481,0.0148,0.0704,0.0667,0.0407,0.0741,0.0296,0.0259,0.0519,0.063,0.0519,0.037,0.0926,0.0444,0.0481,0.1074,0.0259,0.063,0.0259,0.0148,0.2333,0.3111,0.2296,1.0,9.0,65.0,13.399164287,3.8479131764168786,183430000.0,27.450654378152905,27.450654378152905,232.887594782609,0.0225172024151412,0.145,10.377,0.118,87.682,24.41,0.374074074074074,18.8,mitochondria,GO:0003824;GO:0004408;GO:0005488;GO:0016829;GO:0016846;GO:0043167;GO:0043169;GO:0046872,GO:0006461;GO:0006464;GO:0008152;GO:0009987;GO:0016043;GO:0019538;GO:0022607;GO:0034622;GO:0043170;GO:0043412;GO:0044237;GO:0044238;GO:0065003,GO:0016020;GO:0044464,0.0,,,,0.0,54.55,0.08,0.11,0.11,0.47,-0.65,61.33,30071.2,5.18
YAL040C,-0.713008457078525,0.479844011953946,0.610046679031915,1743.0,41.0786,0.1702,0.262539184952977,0.352122776821572,0.0,0.0723,0.0189,0.0413,0.0275,0.0534,0.012,0.0207,0.0551,0.0585,0.1222,0.0207,0.0723,0.0482,0.0413,0.0379,0.1583,0.074,0.0189,0.0086,0.0361,0.2943,0.2909,0.2427,11.0,12.0,85.0,53.078147435000005,5.756973824685765,,,24.390763971506207,,,0.034,4.431,0.031,141.74,1.514,0.1738382099827883,16.28,below threshold,GO:0016538;GO:0019207;GO:0019887;GO:0030234,GO:0006996;GO:0007033;GO:0009987;GO:0016043;GO:0016044;GO:0031399;GO:0051301;GO:0051726;GO:0061024;GO:0061025;GO:0065007,GO:0005634;GO:0043226;GO:0043229;GO:0043231;GO:0044464,1.0,,,,0.0,79.38,0.1,0.2,0.26,0.57,-0.26,52.62,65007.7,9.45
YAL041W,-0.858009056146592,0.0302829055436184,0.5517134067712777,2565.0,38.9084,0.3215,0.229886363636363,0.23019493177388,-0.008793103448276,0.0433,0.0082,0.0421,0.0632,0.048,0.0199,0.0292,0.0725,0.0725,0.0982,0.0257,0.0819,0.0363,0.0468,0.0398,0.1485,0.0538,0.0409,0.007,0.0211,0.2877,0.2865,0.2304,37.0,19.0,219.0,31.991051255,5.04400284478812,556823333.3333334,29.05264442937606,29.05264442937606,,,0.02,4.55,0.02,231.061,2.358,0.1847953216374269,,nucleus:cytosol:bud neck,GO:0005083;GO:0005085;GO:0005088;GO:0005089;GO:0030234;GO:0030695;GO:0060589,GO:0006996;GO:0007010;GO:0007163;GO:0007165;GO:0007346;GO:0009987;GO:0016043;GO:0050896;GO:0051726;GO:0065007,GO:0005634;GO:0005737;GO:0030427;GO:0043226;GO:0043229;GO:0043231;GO:0044464,1.0,,,,0.0,79.55,0.08,0.13,0.04,0.45,-0.48,50.46,96946.8,8.72
YAL042W,-0.0947593020586101,0.897034223754147,0.9364284672845131,1248.0,49.5994,0.28,0.0,0.456272435897436,-0.097380952380952,0.0577,0.024,0.0649,0.0481,0.0529,0.0889,0.0385,0.0481,0.0505,0.0841,0.0216,0.0649,0.0409,0.0457,0.0505,0.0625,0.0529,0.0649,0.0096,0.0264,0.2861,0.2572,0.2115,3.0,5.0,31.0,178.7315324,7.489699729653796,1899333333.3333333,30.822845975686448,30.822845975686448,3321.89508695652,0.32118406368826,2.4,15.825,0.114,138.192,32.876,0.048076923076923,15.66,below threshold,,GO:0006810;GO:0009987;GO:0015031;GO:0016192;GO:0048193;GO:0051234,GO:0016023;GO:0031982;GO:0043226;GO:0043229;GO:0043231;GO:0044464,2.0,,,,0.0,72.98,0.09,0.12,0.1,0.48,-0.4,33.3,46230.7,6.82
YAL043C,0.232632166436532,0.241439673416418,1.1749767148760966,2358.0,46.0136,0.21465,-0.05843137254902,0.242362171331637,-0.698070175438596,0.0483,0.0051,0.0611,0.0649,0.0369,0.0331,0.0153,0.0585,0.0776,0.1323,0.0267,0.0509,0.0458,0.0509,0.0369,0.117,0.0598,0.0458,0.0089,0.0229,0.3053,0.2468,0.2723,33.0,1.0,91.0,31.949112815,5.042167714760099,295683333.3333333,28.13947768990166,28.13947768990166,,,0.022,4.229,0.021,201.185,2.447,0.1564885496183206,34.52,nucleus,,GO:0006139;GO:0006353;GO:0006396;GO:0006397;GO:0006399;GO:0006807;GO:0008033;GO:0008152;GO:0009058;GO:0009987;GO:0016070;GO:0016071;GO:0034641;GO:0043170;GO:0044237;GO:0044238,GO:0005849;GO:0032991;GO:0043234;GO:0044464,1.0,2.13,8.3,,0.0,89.58,0.07,0.13,0.14,0.5,-0.36,50.46,88464.8,6.15
YAL044C,-0.338804690941281,0.198866251478765,0.7906961521617659,513.0,48.3431,0.4051,0.495714285714285,0.529643469785575,0.091475409836066,0.0585,0.0,0.0468,0.0994,0.0175,0.0819,0.0175,0.0351,0.0526,0.0936,0.0292,0.0526,0.0409,0.0468,0.0292,0.0702,0.0819,0.0877,0.0175,0.0351,0.2865,0.2456,0.2807,,,,108.24292679250001,6.771396061612876,1595166666.6666667,30.571060022838004,30.571060022838004,19601.7265217391,1.89523209335494,0.225,6.671,0.169,39.488,3.984,0.1695906432748538,128.43,mitochondria,,GO:0006082;GO:0006464;GO:0006520;GO:0006730;GO:0006807;GO:0008152;GO:0009056;GO:0009308;GO:0009987;GO:0019538;GO:0034641;GO:0042180;GO:0043170;GO:0043412;GO:0044237;GO:0044238;GO:0044281,GO:0005739;GO:0005960;GO:0032991;GO:0043226;GO:0043229;GO:0043231;GO:0043234;GO:0044464,1.0,7.3,13.149999999999999,,0.0,78.44,0.07,0.16,0.18,0.53,-0.44,45.4,18782.1,4.38
YAL044W-A,0.697270310708496,0.246337689637234,1.6214340114661911,333.0,47.1471,0.346,0.0,0.446864864864864,-0.341150442477876,0.0811,0.009,0.036,0.0631,0.0541,0.0721,0.0541,0.027,0.0991,0.0901,0.045,0.036,0.036,0.0541,0.0541,0.0631,0.036,0.045,0.0,0.036,0.2523,0.2072,0.2793,8.0,,14.0,30.899429347500003,4.995458710573569,7880000.0,22.90976438208894,22.90976438208894,,,,,,,,0.036036036036036,15.36,below threshold,,,,0.0,,,,0.0,62.3,0.09,0.14,0.11,0.49,-0.62,46.78,12543.7,10.13
YAL046C,-0.324257424532924,0.415082930052451,0.7987093875501942,357.0,48.1793,0.2951,-0.047872340425532,0.138518207282913,0.123083333333333,0.0252,0.0168,0.0336,0.042,0.0168,0.0672,0.0252,0.0672,0.1008,0.1008,0.0504,0.0252,0.042,0.0672,0.0504,0.1008,0.0756,0.0504,0.0252,0.0084,0.2689,0.2353,0.2185,19.0,3.0,41.0,38.222649665,5.29361509419697,,,23.405100544279186,,,0.141,3.011,0.097,31.042,1.205,0.1092436974789916,15.75,below threshold,,,,0.0,,,,0.0,80.54,0.05,0.11,0.13,0.49,-0.43,59.2,13364.9,10.67
YAL047C,-1.50372779225426,0.0169269263650428,0.3526410201632425,1869.0,36.5436,0.3494,,,,0.0305,0.0,0.0642,0.1108,0.0305,0.0161,0.0225,0.0835,0.0851,0.1268,0.0161,0.0947,0.0241,0.0626,0.0369,0.1043,0.0433,0.0241,0.0048,0.0177,0.2873,0.2392,0.2841,77.0,,,3.1107871735000003,2.039414681635681,112250666.66666667,26.74214878523703,26.74214878523703,,,0.053,7.026,0.04,173.986,4.589,0.247191011235955,17.67,punctate,GO:0005198;GO:0005200,GO:0006810;GO:0006928;GO:0006996;GO:0007010;GO:0007059;GO:0007346;GO:0009987;GO:0016043;GO:0030705;GO:0048284;GO:0051234;GO:0051276;GO:0051301;GO:0051726;GO:0065007,GO:0044464,1.0,,,,0.0,88.07,0.05,0.14,0.05,0.46,-0.79,54.73,72073.2,4.71
YAL048C,-0.184673096411963,0.411406027270312,0.8798484202141489,1989.0,39.9196,0.0799,,,,0.0437,0.0256,0.0754,0.0543,0.0558,0.0422,0.0196,0.0694,0.0754,0.1237,0.0121,0.0468,0.0452,0.0332,0.0362,0.083,0.0573,0.0573,0.0106,0.0317,0.3484,0.2172,0.2338,6.0,4.0,40.0,7.60296588725,3.1048341171599225,,,25.50048359540416,,,0.031,4.52,0.029,158.39,1.221,0.0,,,GO:0000166;GO:0003824;GO:0003924;GO:0005488;GO:0005509;GO:0005525;GO:0016462;GO:0016787;GO:0016817;GO:0016818;GO:0017076;GO:0017111;GO:0019001;GO:0032553;GO:0032555;GO:0032561;GO:0035639;GO:0043167;GO:0043169;GO:0046872,GO:0006996;GO:0007005;GO:0007165;GO:0008152;GO:0009987;GO:0016043;GO:0019725;GO:0033043;GO:0042592;GO:0048308;GO:0050896;GO:0051179;GO:0051640;GO:0051641;GO:0065007,GO:0016020;GO:0032991;GO:0043234;GO:0044464,0.0,,,,0.0,92.46,0.1,0.14,0.06,0.46,-0.16,38.5,75138.9,5.82
YAL051W,-0.397411641035176,0.25067809448246,0.7592191876416214,3144.0,37.3092,0.1627,,,,0.0448,0.0172,0.0525,0.062,0.0544,0.0429,0.0248,0.0763,0.063,0.1088,0.0315,0.0725,0.0458,0.0286,0.0458,0.1021,0.0506,0.0401,0.0057,0.0296,0.3149,0.2634,0.2471,11.0,1.0,5.0,8.31154406875,3.2190204197306636,55114333.333333336,25.71592425310067,25.71592425310067,,,0.027,6.77,0.025,273.079,4.653,0.1498091603053435,16.47,below threshold,GO:0000981;GO:0000982;GO:0001071;GO:0001077;GO:0003676;GO:0003677;GO:0003700;GO:0005488;GO:0008270;GO:0043167;GO:0043169;GO:0046872;GO:0046914,GO:0009987;GO:0030154;GO:0032502;GO:0043934;GO:0048646;GO:0065007,,1.0,,,,0.0,84.98,0.09,0.14,0.05,0.46,-0.28,44.19,118886.4,6.98
YAL053W,-2.67610363322975,1.67612990140311e-05,0.15646331768588997,2352.0,41.8793,0.03235,0.202385321100917,0.492625425170072,0.054528301886792,0.0804,0.0128,0.0459,0.0293,0.0791,0.0383,0.0064,0.0651,0.0446,0.1084,0.0191,0.074,0.0332,0.0383,0.0344,0.0918,0.0714,0.0804,0.0115,0.0344,0.3788,0.2372,0.2372,5.0,4.0,50.0,73.8282462825,6.225511058574955,756973333.3333334,29.495667238830848,29.495667238830848,444.474160869565,0.0429748723110065,0.102,15.727,0.083,188.89,5.771,0.1645408163265306,,,GO:0005215;GO:0015230;GO:0022857;GO:0022891;GO:0022892;GO:0051184,GO:0006457;GO:0006810;GO:0006950;GO:0006970;GO:0008152;GO:0009628;GO:0009987;GO:0015931;GO:0019538;GO:0042592;GO:0043170;GO:0044237;GO:0044238;GO:0050896;GO:0051181;GO:0051234;GO:0055085;GO:0065007;GO:0070882;GO:0071554,GO:0005783;GO:0016020;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,,,,0.0,94.44,0.13,0.17,0.19,0.54,0.22,28.36,87472.3,8.05
YAL054C,0.145757901104253,0.750471283505737,1.1063116871654113,2142.0,45.3782,0.18375,,,,0.0784,0.0098,0.0672,0.0532,0.0364,0.07,0.028,0.0616,0.0658,0.0812,0.0112,0.0322,0.056,0.0308,0.042,0.0714,0.0658,0.077,0.0168,0.0434,0.3165,0.2297,0.2241,1.0,8.0,21.0,4.5472689525,2.47177767445039,144443333.33333334,27.1059283880888,27.1059283880888,,,,,,,,0.0644257703081232,23.86,nucleus,GO:0000166;GO:0003824;GO:0003987;GO:0005488;GO:0005524;GO:0016208;GO:0016405;GO:0016874;GO:0016877;GO:0016878;GO:0016879;GO:0016880;GO:0017076;GO:0030554;GO:0032553;GO:0032555;GO:0032559;GO:0035639,GO:0006082;GO:0006091;GO:0006113;GO:0006325;GO:0006464;GO:0006996;GO:0008152;GO:0009058;GO:0009987;GO:0016043;GO:0016568;GO:0016570;GO:0018193;GO:0019538;GO:0042180;GO:0043170;GO:0043412;GO:0043543;GO:0044237;GO:0044238;GO:0044281;GO:0051186;GO:0051276,GO:0005634;GO:0005739;GO:0005783;GO:0005829;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,,,,0.0,81.9,0.1,0.26,0.34,0.62,-0.27,34.44,79132.4,6.6
YAL055W,0.731236884417124,0.0595043094373084,1.660061723909463,543.0,42.3573,0.2094,,,,0.0608,0.0276,0.0773,0.0497,0.0276,0.0663,0.011,0.0773,0.0884,0.0552,0.0221,0.0331,0.0442,0.0221,0.0552,0.0939,0.0552,0.0884,0.011,0.0276,0.2873,0.2376,0.1878,2.0,7.0,77.0,4.78687264575,2.532783894433618,,,25.77227888283592,,,0.114,4.437,0.084,52.567,4.369,0.149171270718232,19.99,punctate,GO:0005488;GO:0005515;GO:0030234;GO:0043495;GO:0055103;GO:0055106;GO:0097027,GO:0006605;GO:0006810;GO:0008152;GO:0009987;GO:0015031;GO:0031399;GO:0043170;GO:0044237;GO:0051234;GO:0065007,GO:0044464,0.0,,,,0.0,80.35,0.07,0.09,-0.14,0.36,-0.3,45.92,19880.1,8.47
YAL056W,0.232536581793852,0.50692514987102,1.174898870282575,2643.0,39.5006,0.2988,,,,0.0375,0.0148,0.0658,0.0522,0.0431,0.0692,0.025,0.0647,0.0681,0.084,0.0295,0.0647,0.0579,0.0272,0.0465,0.1078,0.0431,0.0522,0.0091,0.0363,0.2894,0.2997,0.2032,2.0,3.0,33.0,5.32448203675,2.6609473306194342,,,23.890859683218952,,,0.019,4.529,0.018,250.254,4.531,0.1180476730987514,17.1,below threshold,GO:0004857;GO:0004860;GO:0004862;GO:0004871;GO:0005488;GO:0005515;GO:0019207;GO:0019210;GO:0019887;GO:0030234;GO:0030291;GO:0032794;GO:0060089,GO:0001403;GO:0007124;GO:0007165;GO:0009987;GO:0016049;GO:0019725;GO:0030447;GO:0031399;GO:0040007;GO:0042221;GO:0042592;GO:0050896;GO:0065007;GO:0070783,GO:0005739;GO:0005886;GO:0016020;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,,,,0.0,74.38,0.09,0.11,-0.02,0.41,-0.47,43.85,98653.9,7.2
YAL058W,-0.506185940695803,0.126949774924319,0.704081362596219,1509.0,43.4062,0.2817,0.0706,0.199175612988733,-0.028,0.0517,0.0119,0.0497,0.0815,0.0338,0.0596,0.0258,0.0775,0.0537,0.0934,0.0258,0.0616,0.0716,0.0358,0.0378,0.0596,0.0557,0.0557,0.0278,0.0278,0.3161,0.2525,0.2525,2.0,2.0,98.0,11.762331668,3.673820027324959,18046000.0,24.10517583502676,24.10517583502676,,,0.119,15.995,0.08,199.572,53.677,0.0854870775347912,16.98,below threshold,GO:0005488;GO:0005509;GO:0005515;GO:0030246;GO:0043167;GO:0043169;GO:0046872;GO:0051082,GO:0006457;GO:0006508;GO:0008152;GO:0009056;GO:0009987;GO:0019538;GO:0043170;GO:0044237;GO:0044238;GO:0051603,GO:0044464,0.0,,,,0.0,84.02,0.09,0.11,0.02,0.44,-0.34,31.46,56948.3,4.94
YAL059W,0.0088240057662238,0.985938763797558,1.006135077686566,639.0,40.3756,0.4541,0.0,-0.143953051643193,0.004356435643564,0.0986,0.0,0.061,0.0892,0.0235,0.0329,0.0,0.0516,0.1315,0.0986,0.0141,0.0657,0.0235,0.0329,0.0704,0.0845,0.0516,0.0469,0.0094,0.0094,0.2394,0.2066,0.3005,20.0,5.0,34.0,30.06522135,4.957228428883975,1282000000.0,30.255749117068262,30.255749117068262,471.326786956522,0.0455711721162517,0.188,4.401,0.089,49.203,0.79,0.3427230046948357,46.55,nucleus,,GO:0000054;GO:0006810;GO:0006913;GO:0009987;GO:0051169;GO:0051179;GO:0051234;GO:0051641,GO:0005634;GO:0005730;GO:0005737;GO:0030529;GO:0030684;GO:0032991;GO:0043226;GO:0043229;GO:0043231;GO:0043232;GO:0044464,0.0,1.75,5.95,,0.0,77.35,0.04,0.17,0.18,0.54,-0.81,34.68,23902.6,10.44
YAL060W,0.579550707373425,0.0707938014554516,1.4943837863186484,1149.0,44.9956,0.1791,-0.070232558139535,0.353953002610965,0.024661016949153,0.0627,0.0287,0.0574,0.0653,0.0366,0.094,0.0444,0.0731,0.0809,0.0705,0.0287,0.0261,0.0496,0.0261,0.0209,0.0679,0.0418,0.094,0.0131,0.0157,0.3029,0.2376,0.2272,,,,52.21287199999999,5.733703365507298,537900000.0,29.00276275070843,29.00276275070843,,,0.175,10.344,0.133,77.658,3.538,0.010443864229765,16.76,below threshold,GO:0000721;GO:0003824;GO:0005488;GO:0008270;GO:0016491;GO:0016614;GO:0016616;GO:0043167;GO:0043169;GO:0046872;GO:0046914,GO:0006066;GO:0008152;GO:0009058;GO:0044281,GO:0005737;GO:0044464,0.0,1.28,4.39,,0.0,87.38,0.07,0.23,0.28,0.59,-0.06,35.99,41574.4,6.55
YAL062W,0.392225801749008,0.118506416962176,1.3124166498949603,1374.0,48.69,0.2164,,,,0.0873,0.0131,0.0459,0.0742,0.0459,0.1004,0.0087,0.0655,0.0677,0.059,0.0218,0.0459,0.0306,0.0393,0.0349,0.0808,0.0502,0.0808,0.0131,0.0328,0.2969,0.2576,0.2424,,,,0.27393847233333335,0.34929560113965324,30044333.333333332,24.840589621875036,24.840589621875036,,,0.238,15.895,0.155,102.211,6.531,0.0,21.58,cytosol,GO:0003824;GO:0004354;GO:0016491;GO:0016638;GO:0016639,GO:0006082;GO:0006520;GO:0006807;GO:0008152;GO:0009058;GO:0009308;GO:0009987;GO:0034641;GO:0042180;GO:0044237;GO:0044238;GO:0044281,GO:0005634;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,,,,0.0,77.86,0.09,0.16,0.19,0.54,-0.19,24.46,49619.6,5.12
YAL064C-A,-0.907161634393222,3.15731643957151e-05,0.5332331455343896,381.0,43.832,0.1115,,,,0.0709,0.0236,0.0787,0.0157,0.063,0.0709,0.0157,0.0472,0.0236,0.0551,0.0236,0.0315,0.0787,0.0394,0.0157,0.0787,0.0866,0.0866,0.0157,0.0709,0.3386,0.2598,0.1654,,,,0.851112126,0.8883922851192723,,,24.141068172118743,,,0.159,3.01,0.12,25.038,0.833,,19.4,below threshold,,,,0.0,,,,0.0,68.73,0.15,0.21,0.23,0.56,0.02,34.68,13878.6,4.11
YAL067C,0.407925392291591,0.143673732546486,1.3267765257389088,1782.0,36.0831,0.0153,,,,0.0572,0.0135,0.0505,0.0488,0.0589,0.0505,0.0152,0.0774,0.0657,0.096,0.0185,0.0539,0.0269,0.0303,0.0387,0.0808,0.0522,0.0673,0.037,0.0589,0.3956,0.2121,0.2205,,,,0.182320501,0.24162117132460204,,,23.4434779248685,,,0.034,4.442,0.032,140.064,2.036,0.0,15.88,below threshold,GO:0005215,GO:0006810;GO:0009987;GO:0051234;GO:0055085,GO:0016020;GO:0044464,0.0,,,,0.0,86.24,0.16,0.18,0.13,0.51,-0.06,35.51,68845.6,8.15
YAL068C,-0.397961341262723,0.259858555138504,0.7589299626496389,363.0,49.5868,0.1275,,,,0.157,0.0,0.0413,0.0413,0.0248,0.0496,0.0165,0.0661,0.0248,0.0661,0.0331,0.0248,0.0413,0.0331,0.0331,0.0744,0.1074,0.0909,0.0083,0.0579,0.314,0.1901,0.2975,,,,,,,,23.358219777829234,,,0.094,1.483,0.078,18.996,0.204,0.0,,,,,,0.0,,,,0.0,90.09,0.09,0.63,0.78,0.88,0.25,19.78,12846.7,4.96
YAR002C-A,0.103332384903104,0.804677800062222,1.0742519417979584,660.0,39.5455,0.1386,0.217857142857142,0.613387878787878,0.226065573770491,0.0864,0.0227,0.0682,0.0545,0.05,0.0636,0.0273,0.0682,0.0864,0.1,0.0182,0.0227,0.0091,0.0636,0.0364,0.0545,0.05,0.0682,0.0182,0.0273,0.3318,0.15,0.2591,7.0,7.0,16.0,347.43521042500004,8.444746609747117,1631100000.0,30.60319808884056,30.60319808884056,,,0.338,7.028,0.159,44.311,1.674,0.0,83.9,vacuole membrane,,GO:0006810;GO:0009987;GO:0015031;GO:0016192;GO:0048193;GO:0051234;GO:0065007,GO:0016020;GO:0016023;GO:0031982;GO:0043226;GO:0043229;GO:0043231;GO:0044464,1.0,2.9699999999999998,20.11,,0.0,88.95,0.1,0.33,0.37,0.65,-0.13,31.96,24723.7,7.5
YAR002W,-2.98558681202591,7.05944500343601e-06,0.1262550664830942,1620.0,39.5062,0.562,0.131153846153846,0.213884567901233,0.1641,0.0741,0.0,0.0352,0.0759,0.0426,0.037,0.0111,0.0426,0.0963,0.0463,0.0111,0.0852,0.0648,0.0333,0.0389,0.1611,0.0574,0.0574,0.0,0.0278,0.2167,0.3481,0.2074,32.0,20.0,124.0,22.530621744999998,4.556467536001108,2602666666.6666665,31.277343406720217,31.277343406720217,2595.57217391304,0.250958081634465,0.113,10.414,0.076,137.335,4.227,0.7907407407407407,16.23,below threshold,GO:0005198;GO:0005215;GO:0005487;GO:0005488;GO:0005543;GO:0008289;GO:0017056,GO:0006139;GO:0006259;GO:0006281;GO:0006605;GO:0006807;GO:0006810;GO:0006913;GO:0006950;GO:0006974;GO:0006996;GO:0008152;GO:0009408;GO:0009628;GO:0009987;GO:0015031;GO:0015931;GO:0016043;GO:0016458;GO:0031399;GO:0034641;GO:0040029;GO:0043170;GO:0044237;GO:0044238;GO:0050896;GO:0051169;GO:0051179;GO:0051234;GO:0051276;GO:0051641;GO:0065007,GO:0005634;GO:0005643;GO:0005829;GO:0016020;GO:0032991;GO:0043226;GO:0043229;GO:0043231;GO:0043234;GO:0044464,0.0,,,,0.0,55.78,0.07,0.14,0.05,0.46,-0.83,58.71,59053.1,9.92
YAR003W,-0.477621181735679,0.278212432900687,0.7181608029305535,1281.0,40.0468,0.1476,0.753793103448275,0.102704918032785,0.123548387096774,0.0468,0.0234,0.0679,0.089,0.0328,0.0422,0.0281,0.0796,0.0445,0.0984,0.0117,0.0468,0.0422,0.0351,0.0398,0.089,0.0562,0.0632,0.0258,0.0351,0.3349,0.2201,0.2459,14.0,55.0,204.0,27.20713913,4.817988444885268,17628333.333333332,24.071392827890286,24.071392827890286,,,0.066,6.872,0.056,123.684,5.545,0.0515222482435597,22.96,nucleus,,GO:0006139;GO:0006259;GO:0006325;GO:0006464;GO:0006730;GO:0006807;GO:0006996;GO:0008152;GO:0008213;GO:0009987;GO:0016043;GO:0016458;GO:0016568;GO:0016570;GO:0019538;GO:0032200;GO:0034641;GO:0040029;GO:0042592;GO:0043170;GO:0043412;GO:0044237;GO:0044238;GO:0044281;GO:0051276;GO:0065007,GO:0016585;GO:0032991;GO:0035097;GO:0043234;GO:0044464,1.0,,,,0.0,87.87,0.09,0.13,0.03,0.45,-0.29,43.52,48624.0,4.42
